파일,정답
ff37abffe36f46ba9b55783fd7dc3beac8f77dc97396f884a020857b988258f7,1
ab9f24b55b510e5ba244077e2bfb89e5786e5cb6dc106a6a10bd45a1222af813,1
2d3719c249080c78380ea3c0819b3a2119c9b2738dee39f3b2508c6cb9b0bc36,1
75cb3b6f0c49787689fdc8df670e8672f31694fc71a6645ea8ce4d8ed72852b2,0
14f2dfe8352da0c4c5f954f3e835e045b2a420728f9d89d8f68550ecde2687a7,1
ff6d5b0e3f70c55349c0550cd998ddecce4b06b98728e99bd50170dc3a0c006f,0
b1edff29727d85dbebb57d15e4b2551b920a0ae166ea376e651e384c8033f3fc,1
29b0b879d6b1007ad6490b772fb1a99c25ab6af79e626590f27e06b4f4e12804,1
90d9f334aeca316a7ca9c1e83ec5305e6521b5b10d44737f245b4850f10343f5,1
77f788ab41007ce1543f028b62c30bad7110e9133247879d34bd964e11f6e0f8,1
7a164df3f71db0da0c4d807021915b14e6fcc58933dcd96240b36fcc81aa6378,0
bca8a5b3436cb19f6a8c0cb93c6a62b215e74080e05999bcbfb7b9c6ca3e30a1,0
69a447ae007821a2dcae1aad681c728d7a87bcb49e741056337337c9f9dd4ab8,0
a594d4df7045c7ca1d0afcad4e0cf602d65f93ce65e60b610349d1c01a8de768,1
7ba345b9aa1faecb8c1f41bed65ea7c9742b7bf202ff8183e9971df7cb69bc0b,1
52b8be1916039532040cbd7611a59c028a409c9dac0adcce93dfb2f0e0b19960,1
373df3b179a656b3fcf8e81b44013f1f85827551514b0d5d3f670e915c29a369,0
b9588a9dd5bebfb037286a35f8cfadb04eafc17fdd9da68772e47f3c21b34cdb,1
76b82db120d5ce873d012f3d0656f50e6d015522d2062ef59354cd813bd632c5,1
240760056f132bb2d48d2c9f83ddf66e981b9ac78d8ac1807386ae06b6bbc1cb,0
1f4d9204c71a5b094416d170f4f75df6f5bf345c35c315944b4cbf2b191f2206,1
9a5e11c73eb4e82ce03a7c473fc24311c1442f280a3b8403464f4121a2fc2db6,1
f6b1a8fa0fb3728cda4c272f068d2c469f4f4417f232c47cf02e1d7d5d2ec0e6,1
8e4dc35be6c05daf319f83100e2e4e21bce83e7e047e07fbb199f77fa24ab54c,0
d497b24e29a1e877d4d868cb785bfb42a1bda1179b282441436163f3c609c929,1
5a6fc24c91535400c370a1479d51e7ff7850f186b3c4941a21a072404db84dfa,1
4000e914527bf5653ec7c17d63ac8fb280e8762145e270f70a582c062a83e1f6,1
cc096074ea9d2712681c30fbac6012625d7be45620085810675f970ee38a628b,1
029908f448faec96dde9caef4e8a5ec1efdbcf0dcb52b8b96b1f06f3fb6115a1,0
39a832b579b56968c0c1b0debec0693f5e2bd3ea35ec2f9c9adb1d8ad4c20e22,1
36cf8e581546dccb3d6485748026541eef392d964cabc0075305db4ec384cc07,0
3cb19e7994987d8f1adf14dcd2ebcc412e25fe066e96cd62161e09ce10765354,1
241cafae2d0e442801120c36de1208220b996964f94f8b975e1ea1728beba00a,0
523dee22c5e6df841c9c827ff4e87a8e08d2e6f7ce2146b74ec5e6e5fb30235c,1
3c8dd890e3a0c8007d04cf76160acd2b40b700f9a032f47ce09e4270f3c98be4,0
cf18a5d26fa371f42b58313af08a733c22784dab8c2cf1d317d401b37e6cded8,1
540e511feb764099481e93513df90147ce2c920e18ce19d009eb03e84985c245,0
e48600edb2c48e09362f9cd284d19ec4c69bf29356041fe6c33718f4c07665d7,0
940229e5bf231b812b74aaf15a5c4418bd88a2852ba4fe959ef4710d550df37f,0
df084469487153ccd39140571615290bfa720ef9d4ca7913cbb6d12b1d83afe1,1
95786fe2c78f3d83ace6b5e6b564e57b76dc08aba87e89fcefc233c10d256d97,1
48e5b280234739ae09830e2f08de41f4e3d7ad0865e883fc68acd438c12b56c6,0
a29d1fa616cbc002f18f1e80dfa8823024a087cc58e2c1445ef2714ced8c9a38,0
02645685027f4b50b7598255874661cae4b84dc6675e3006e499c8d9d5987106,1
37b92f4b0726bd0fd128942640649d4a7e0786a3e877229ca0777a2d625c2813,1
748d52cca4e7fe6cf3ac8533bddd3686c1b7b5e03687789a99a1323c662d8b43,1
04994315f179fb02683c63a6f0b94b1c0763291254430a4ea929ea6d5ec08e79,1
3216a8fc69d310e00d1e235ad24c64eb8c59ea37658beaf1046115816b3ea1a4,1
3577135d4ccd8f852fe92e881f0a6a01d2ab861915a03c93a84828d75ae8311f,1
9fab59220d98b3dd219fbd63f47a0ea8a0a520a937244f9947b77b6c77f98c94,0
835aebac1401aefe2144a70213258dba07d60498a9ac9869591ef9a304b29e64,1
f307bdfdbc301a5058cd74abc1508c7ee9585b02440e75b5999cc71aa6430c7a,1
73e4996dfee73b55d9d4f59e96412a1763a693519e79eab0335b9af6585fe89a,1
ab5f767a88c29ad53a939b8862898984513ce84484a8097828769c6ca358f8d4,1
870c49d7d8c664bf5357cc0852b13afbda9c29b6def4361f44078f39be5594f5,1
d6a6bcd4d2d211f527c13a32a5b9e900237f384144a2b337da33c4ad3a3336d1,1
c7013572631158db86be2d274d49dddd366c7ff517ea9d43e4d1543f64d1a7c5,0
cebb4ba76c4901f4961fdf515b27b9f2eb95c2d0d756d322288d65e03e4c51d1,0
0197601fd83fd1aac42bb1a106ec168c6f3d5dbb1ae3b4207ffbb50e21f44b16,1
3bbf7a459ca26a617caeeed568c3a6f81cd3fab5b00df9c643b66f000d4f295d,1
f6b50c28add5dea4af15870b57053da1b60ee099d3c28dc206f1f2f5c779b1e0,0
2157d3041e5ea94f03ebc59c71b28ca5c4e28a907fcdb5368bb2ce91b77d3d8d,1
623b6894bd581085890ee6dc8d1c359bdbf9049e932416ce7e1610485b9ca72f,1
9dea20cc9f9decec4d8586b9841116831cbc53e40f5e30eb5b5e67630626bd61,1
0dc4874ae83d33695f154c6928230758233c0981f982acc61efc2d3fe8841ccc,1
e38d5e36208e661970d4da47f1b03be954ab5b8cefa3ee427a880e85d50093d9,1
1ddfaf791ed446c4c2d45d0a28957927dcac3e727aabcb729a1a99d8468f5bf2,0
1be168e4d9f2672f0868ebfaf959a17d8e2781b3c5bf9c29f8e3c51cd2ca0353,1
aac960d95b779c5436c3ae4c0e0c0e57a9f3f6bca9d3d79d29847cd9c348d067,1
055a4a6a78fdae606de138ddf4a436c96ea60ba7db23522a2869d2eaf8f3e826,1
cf1f99397bbd63e5a07f6bf5e000472c5c4bcb03856c522dccf06cebf195856e,1
cdfbc04bb0266c6fb339afd83946bf020ce320b79c6c9f280491013f7e58fc20,1
52b3a5c79fc0c063b4603e2209c1429ecb17cdac20e7968d34b6fb9cb57a330c,1
0492c67910953a237ead15a91158a8bc3ed3624dfb70139f39a40b9a83481843,1
24870814fdacfdf74fb0982cf214b75151a1cc1cc900c0a6b407293f7ee518b9,1
1c864b939a6d20158714844c48932adacc87b63ad2c76550e773cdf598802f9d,0
28d08524ecbdf911995da399e45615fd925e9a3550896a16d85fb7a7b7f774f0,0
460ac89de4d79ebf9754674bfae85aa66ac7c88f48e50b7b3aa47e73bfa9ee0d,1
24ceaeabf405548c4cbeed8cf2823a4fd3196f2310b79fce684668aff462b15b,1
9c26543fa29b95f26d3fd79f80ef77a0deade1532cdaf60a5424752851be286b,1
b61f4cca97d8ecfbb7a082c8588188ce8485c5f72d189aea85d55fd48aef3e18,1
704fee1fc884301c31a3f89ec79180dd1d3c644158a14bfbdd61f9a2540e9e68,0
4026ebec44fb1deaf60904bd8cc8ef071506a6227aa27a23a95b10a7b00a5741,1
9e51c6859fd1339036317124148a6ab98d283466a4892dabbb37c3d1e069a354,0
9dd9531ffce33ff020658ff63deb209055508e5df37a67eb0bb3ee65d3d15314,1
58c1ff337f9c5ebc6066f8ae54bbaf84a244745f9e2699a1def3321b5264ffaa,0
52f94c0d76c8accb27af4c49641fe2ed35eb528d5e79f665f743729d4bd12b07,1
f584d60024e95855371719dbcdf8ef5719772052011b8551cc17cdfe7f37918b,0
00dbe3e89bdc92146ee0e4a0f5f8d3b7ca401ef2207195db3fa8331ffb29da9b,1
a2ae35aff6fcdf82352135482ed0d57666cced5a888de329276c317005d5d163,1
c2614ba2780241ec1533b0bfd0275dec04e2c75e4ee9dea851f6647e1e9f1ca2,1
733f4455218fd0fa1177d1b2600a5f04a6fd1a0431fd45f1c8777d28976594ac,1
fcaec03e8c4cf386792f15a8bfa21ec45d61cfbfd91d8e550c1ffa575c82ddde,1
c6a1e23aed905f1e87c1400a859b8537294d326d6468b1b5b12101d5b74a2333,1
da08c860c7c5a9ca01e4d7c794dcbebc150f90c8592340ddb8b8d423baf1c190,1
e27d2c646ad0d0a5ad0908892e093b21572751b9bf2876471d6aaa089af1fc89,1
1e687ecb319827b3c95346e7cb52b492d48a33ecc289f0282aac60356d0a13bb,1
34132625b32abef15fd698e442df2252ad4cee11c7f4d21ae597d7ca24fa147f,1
a813e6dd570878254b4c2d586a3dc45f5fe6586f18250b3ab6b07fe7aa0318bd,1
c8a7a4bbdcdb6f5bdbe1d5efbc5eb7620c8e6d984e2df967f9fee239ebd62810,1
d10df67765c1c3463fba58c4c523318c9b5a08aa478b8b1b36ff39daf66b89d4,0
7b7c4cd5a1715de531c6873397c8833d2dd75cdd67bc019b72202c8835edb5cc,0
04be9bb3513a821829c8d91ff20b3f7907b5f92ef656e4aa492803901c06815d,1
b6c229c32e03b4af9e55924f862e70b4335035360800e6bcb2ca50e8fb0fc634,1
95d4e1cdd53c5f06b1abbbf78095bd4c83e6b4e55590ea61a52441efb262ad3a,0
698c2f4aa1e22c954c9c6c08c10f8b02ef2bd34d908e3e8efb8a7038b8169f85,0
beb3ff19b66c1ab32ab5b1d1a4306ffe46084474cfefa2535bb00a2bdccf661a,0
d961b4527b4b14b05f16721422ac28177ea83ae76edfc6082a7a8541020cbb99,0
e88f141e42b1d977a202f98f4884e6c21a259ef6c6ec411a6de00c42145295cb,1
3ef7aeab39e89c6f9733d6933aec43a87ea7fbb9a7750f6343fc2445d0231da1,1
80e94a3c2fa4651219d8795e560079f93dd2152c492441aedaa214f1c5350232,1
7d623468873b46a941751f9754a8ef7d34a5688376d4941a615e0193cae6a3a5,1
ccb1a1c1d54a98625170fd92a8edb7c2f879744135a8ceb28e038ab840762bc1,1
5e5c20473efb06b34cbfa4096d608bc2cf8a1193182ff14ea8376d40a870d846,0
290ba485521571a8c5fda268ffe121c3abbc42b15c32c58b82d2cb29aa776faf,1
9f555d71ecedc46ba7c2032d853ed2666ef70c05e05e0a1f47cdee325ffc989b,1
2e46b7d6461f7ad99f9aabe2eb6f4a2469c38e8965d9a7dd2e47ff2e887e32ad,1
62f5f309fda93036872f8b7bdc4aed1797119acf4a60569d58c65ba7433c404a,1
0c33bca8c35e3709083135436362775dffe94323d36779af77f309be4c52d10b,1
cfc680a309311f6307e9d9c96fdd3ed9a6e00c409b2c3788d095f7d5e5b7836b,0
856a3a00f24cec479c578106fd6e517224e94b8a779bb5fa97f624cbe1383d67,1
63cd8425faf5a0afb9facaedfd2a1258cae05ebb009d835aca12d4b46fe98ad6,1
bfa645b411192d5271cbaac57d0e359263a663f36b0d1b0e39adfecbbde7617b,1
fb90225cb36b04881f7e46e59c5bd9fc1b7902aa818580ca782e5825aae7b407,0
51fd23b0b1d3461eec4a344b308b4ebf4a25a0abdca0cddd44addc8206b28542,0
96e3a668055ddf766d0bc6b096ea80058dc6f84a37415fe3c565d8d2e1ed5e3c,0
a9b790c0d5b6fd926f8f2455625fd6bd58ed6a38f6268d3f8044ca4e0f8161c6,1
6306a9b7d0c0f31d5260206ae4aa46a120d7d918286e4f6bae9f765db2336454,0
e71144c7cd59267a274628d4a3976b454499e87ba4c84ea1df1d4a7f121f3e37,1
758fbeb4376dffdd6a65e592ef417985b72151a64ce680883084d747ecb6a0b9,1
cc54fb61c070bf00acd48e3bf1087fa142d0c2dda2a7267fdbcd3bbece6b8608,1
8f3450b67d8a0c769b98768436c6996de679959aa1184a5d11b32f8dd4f8283d,0
a277281a18eece8c950cfb96c1c7b061a97b005246cf64ec12405e3097711ff4,1
a7eaa30222928793f2206dc623f2961f5cf2e963445cf3355ced9c788f0d0d11,1
468a483f484d1c715a71255b0a86f644a9036752c5b1899cb06faf27c018721e,0
1e65f6c8bd6798824ea7dfb855fd24ff4e27f376a495a3c96b0dd455483c3691,1
3251f751b52071a3d76712bbdf090373830fa9139d7642ed88e1b1cd75d0bb84,1
e38627f9cd25510652c7bbd1f97af5ac6bf17171d2392358ecfea19df516990a,1
88e06a788ea5b1c3db9c01ec212f625a030dd9df626dcd8ec8a414a5f3854105,0
